Most Popular TV Shows,Year,Rating
Loki,(2021),8.5
Never Have I Ever,(2020),7.9
Rick and Morty,(2013),9.2
American Horror Stories,(2021),6.5
Ted Lasso,(2020),8.7
The Walking Dead,(2010),8.2
Virgin River,(2019),7.4
The White Lotus,(2021),7.1
Dr. Death,(2021),7.9
Game of Thrones,(2011),9.2
Sex/Life,(2021),5.4
Schmigadoon!,(2021),7.5
Manifest,(2018),7.2
Atypical,(2017),8.3
Masters of the Universe: Revelation,(2021),4.7
American Horror Story,(2011),8.0
13 Reasons Why,(2017),7.6
Grey's Anatomy,(2005),7.5
The Flash,(2014),7.6
The Sopranos,(1999),9.2
Mare of Easttown,(2021),8.5
The Handmaid's Tale,(2017),8.4
Stranger Things,(2016),8.7
Breaking Bad,(2008),9.4
Friends,(1994),8.9
Lucifer,(2016),8.1
Gossip Girl,(2021),5.3
Peaky Blinders,(2013),8.8
The Office,(2005),8.9
The Good Doctor,(2017),8.1
Leverage: Redemption,(2021),9.0
Yellowstone,(2018),8.6
Criminal Minds,(2005),8.0
Bosch,(2014),8.4
Titans,(2018),7.7
Vikings,(2013),8.5
The Boys,(2019),8.7
WandaVision,(2021),8.0
Supernatural,(2005),8.4
Turner & Hooch,(2021),6.0
Power Book III: Raising Kanan,(2021),7.2
The Blacklist,(2013),8.0
The Witcher,(2019),8.2
Animal Kingdom,(2016),8.2
Law & Order: Special Victims Unit,(1999),8.0
The Mandalorian,(2019),8.8
NCIS: Naval Criminal Investigative Service,(2003),7.7
Dexter,(2006),8.6
Modern Family,(2009),8.4
Baptiste,(2019),7.3
Superman and Lois,(2021),7.9
Van Helsing,(2016),6.2
Downton Abbey,(2010),8.7
Star Wars: The Bad Batch,(2021),8.3
Better Call Saul,(2015),8.8
Succession,(2018),8.6
Schitt's Creek,(2015),8.5
The Big Bang Theory,(2007),8.1
Shingeki no kyojin,(2013),9.0
Sweet Tooth,(2021),7.9
Brooklyn Nine-Nine,(2013),8.4
The Falcon and the Winter Soldier,(2021),7.4
Suits,(2011),8.4
Lost,(2004),8.3
Young Royals,(2021),8.7
Modern Love,(2019),8.0
Midsomer Murders,(1997),7.7
La casa de papel,(2017),8.3
Doctor Who,(2005),8.6
Outlander,(2014),8.4
What If...?,(2021),
It's Always Sunny in Philadelphia,(2005),8.8
Black Mirror,(2011),8.8
Ozark,(2017),8.4
The Last Kingdom,(2015),8.4
Monsters at Work,(2021),7.2
The Wire,(2002),9.3
Invincible,(2021),8.7
StartUp,(2016),7.9
Fargo,(2014),8.9
Heist,(2021),6.7
Professor T,(2021),6.8
The Crown,(2016),8.6
Why Women Kill,(2019),8.4
Good Girls,(2018),7.8
Community,(2009),8.5
How I Met Your Mother,(2005),8.3
Shameless,(2011),8.5
House M.D.,(2004),8.7
Chicago Fire,(2012),8.0
Hawkeye,(2021),
Bones,(2005),7.8
The Vampire Diaries,(2009),7.7
Heels,(2021),
True Detective,(2014),8.9
Westworld,(2016),8.6
Sex Education,(2019),8.3
Sons of Anarchy,(2008),8.5
Legends of Tomorrow,(2016),6.8
Chernobyl,(2019),9.4
